Sample_ID	N1	N1_spike	RPP30	S2	S2_spike
Plate2-I06	0	0	30	6818	295220
Plate2-I07	0	1	148	5261	241377
Plate2-I08	1	0	137	10597	227635
Plate2-I09	0	0	29	7791	114569
Plate2-I10	1	0	25	5355	73978
Plate2-I11	0	1	29	931	5877
Plate2-I12	0	0	26	55752	246719
Plate2-I13	0	2	14	91655	199827
Plate2-I14	0	0	22	94114	208765
Plate2-I15	1	1	59	264921	103503
Plate2-I16	0	0	75	228331	93273
Plate2-I17	0	2	28	287211	37769
Plate2-I18	0	1	38	371830	60841
Plate2-I19	1	0	34	391659	18582
Plate2-I20	0	0	47	186224	12224
Plate2-I21	0	0	16	409637	5377
Plate2-I22	0	0	15	465499	8934
Plate2-I23	2	0	19	417376	2582
Plate2-I24	1	0	26	461244	4746
Plate2-J01	0	0	54	0	212838
Plate2-J02	0	0	60	6	3856
Plate2-J03	0	1	27	4	202182
Plate2-J04	0	1	31	0	195452
Plate2-J05	0	2	34	3864	189643
Plate2-J06	0	1	34	7	263785
Plate2-J07	0	1	106	8633	152619
Plate2-J08	0	0	93	10004	218505
Plate2-J09	0	0	26	12927	100651
Plate2-J10	0	0	45	11399	143130
Plate2-J11	0	2	23	37138	163007
Plate2-J12	0	0	37	958	3816
Plate2-J13	2	0	18	5435	17652
Plate2-J14	2	0	22	95732	215983
Plate2-J15	1	0	84	164281	89872
Plate2-J16	1	1	136	225692	90596
Plate2-J17	2	2	31	214770	29887
Plate2-J18	0	2	32	5914	782
Plate2-J19	5	0	40	346021	14949
Plate2-J20	0	0	40	403834	17128
Plate2-J21	4	0	16	288270	4977
Plate2-J22	0	0	24	35236	587
Plate2-J23	3	0	34	361494	1713
Plate2-J24	0	0	27	36063	355
Plate2-K01	0	0	15	11	242900
Plate2-K02	0	0	18	24	415
Plate2-K03	0	0	10	4	50
Plate2-K04	0	0	12	1661	205100
Plate2-K05	0	0	15	2149	290509
Plate2-K06	0	0	28	2414	150923
Plate2-K07	0	0	14	13864	236208
Plate2-K08	0	1	17	17802	246342
Plate2-K09	0	0	21	16305	243457
Plate2-K10	0	0	21	4265	127652
Plate2-K11	1	0	19	18275	67472
Plate2-K12	0	0	23	38793	173781
Plate2-K13	0	0	6	104049	181199
Plate2-K14	0	0	6	150879	163877
Plate2-K15	0	1	27	195612	159281
Plate2-K16	0	0	22	159808	66166
Plate2-K17	2	0	28	348151	52848
Plate2-K18	0	0	39	292048	52319
Plate2-K19	0	0	21	366006	15882
Plate2-K20	0	0	28	450303	26544
Plate2-K21	2	0	30	390789	6512
Plate2-K22	1	0	43	472914	7741
Plate2-K23	1	0	24	317442	1706
Plate2-K24	0	0	28	452096	2832
Plate2-L01	0	0	34	23	200871
Plate2-L02	0	0	36	4	285383
